,city,coli,state
0,New York,100.0, NY
1,Honolulu,84.02, HI
2,San Francisco,111.09, CA
3,Anchorage,72.17, AK
4,Washington,87.15, DC
5,New Haven,71.27, CT
6,Berkeley,84.03, CA
7,Santa Cruz,80.07, CA
8,Brooklyn,84.32, NY
9,Seattle,77.23, WA
10,Boston,83.17, MA
11,Oakland,83.82, CA
12,Miami,75.64, FL
13,Charleston,68.67, SC
14,Santa Rosa,71.05, CA
15,Allentown,60.71, PA
16,Philadelphia,69.03, PA
17,Fairfax,71.41, VA
18,Akron,54.29, OH
19,Chicago,71.25, IL
20,Burlington,63.03, VT
21,Boulder,69.49, CO
22,Melbourne,57.15, FL
23,Fort Collins,62.34, CO
24,Portland,62.48, ME
25,San Jose,83.41, CA
26,Saint Petersburg,60.84, FL
27,Minneapolis,61.9, MN
28,Denver,68.14, CO
29,Albany,57.77, NY
30,Irvine,74.06, CA
31,Asheville,59.78, NC
32,Pittsburgh,60.16, PA
33,Los Angeles,74.28, CA
34,Greensboro,53.98, NC
35,Sacramento,60.9, CA
36,Baltimore,64.73, MD
37,West Palm Beach,62.98, FL
38,Portland,66.45, OR
39,New Orleans,60.63, LA
40,Hartford,61.25, CT
41,Santa Barbara,76.17, CA
42,Des Moines,56.35, IA
43,Orlando,59.7, FL
44,Fort Lauderdale,67.37, FL
45,Jersey City,73.07, NJ
46,Tacoma,57.19, WA
47,San Diego,69.6, CA
48,Milwaukee,56.51, WI
49,Jacksonville,54.92, FL
50,Bellingham,55.78, WA
51,Grand Rapids,56.03, MI
52,Plano,59.87, TX
53,Fayetteville,50.29, AR
54,Harrisburg,51.9, PA
55,Cleveland,55.06, OH
56,Saint Paul,56.93, MN
57,Tampa,58.96, FL
58,Atlanta,60.18, GA
59,Indianapolis,53.74, IN
60,Detroit,56.35, MI
61,Charlotte,58.35, NC
62,Nashville,61.0, TN
63,Syracuse,51.77, NY
64,Greenville,56.79, SC
65,Saint Louis,52.76, MO
66,Houston,60.41, TX
67,Louisville,52.11, KY
68,Austin,63.01, TX
69,Fresno,53.66, CA
70,Birmingham,51.76, AL
71,Bakersfield,51.07, CA
72,Chattanooga,51.11, TN
73,Tallahassee,52.16, FL
74,Wichita,50.03, KS
75,Spokane,50.58, WA
76,Buffalo,51.31, NY
77,Newark,54.64, NJ
78,Eugene,51.85, OR
79,Raleigh,54.68, NC
80,Fremont,71.35, CA
81,Little Rock,49.8, AR
82,Las Vegas,52.11, NV
83,Vancouver,53.04, WA
84,Columbia,51.57, SC
85,Fort Worth,53.99, TX
86,Dayton,47.31, OH
87,Columbus,53.39, OH
88,Salem,50.96, OR
89,Knoxville,51.27, TN
90,Tulsa,51.14, OK
91,Fort Wayne,47.16, IN
92,Cincinnati,51.6, OH
93,Fort Myers,50.34, FL
94,Rochester,50.4, NY
95,Dallas,56.0, TX
96,Gainesville,50.09, FL
97,Ann Arbor,56.03, MI
98,Madison,54.08, WI
99,Phoenix,50.86, AZ
100,Kansas City,49.21, MO
101,Salt Lake City,52.21, UT
102,Virginia Beach,52.87, VA
103,Shreveport,46.61, LA
104,Huntsville,47.39, AL
105,Albuquerque,46.69, NM
106,Mobile,45.82, AL
107,Oklahoma City,46.55, OK
108,Boise,47.18, ID
109,Tucson,44.54, AZ
110,San Antonio,49.0, TX
111,Reno,46.95, NV
112,Athens,43.41, GA
113,Springfield,40.74, MO
